Trap Date,Genus,Specific Epithet,Gender,IDd,Count,Trap Region,Include,Comparison Group,Latitude,Longitude,Location
09/15/2015 12:00:00 AM,Aedes,vexans,Female,,3,Rural-West,,Outer,53.56297330,-113.78735300,POINT (-113.787353 53.5629733)
05/12/1998 12:00:00 AM,Male,UnID,Male,UnID,1,Rural-North West,,Peripheral,53.61722100,-113.71618200,POINT (-113.716182 53.617221)
08/28/2001 12:00:00 AM,Culex,tarsalis,Female,,1,Rural-North West,,Peripheral,53.61722100,-113.71618200,POINT (-113.716182 53.617221)
08/17/2004 12:00:00 AM,Culex,territans,Female,,1,Rural-North West,,Peripheral,53.61722100,-113.71618200,POINT (-113.716182 53.617221)
05/15/2018 12:00:00 AM,Culiseta,impatiens,Female,,2,Rural-West,,Outer,53.55902000,-114.00119000,POINT (-114.00119 53.559020000000004)
09/13/2016 12:00:00 AM,Male,UnID,Male,UnID,10,Rural-North West,,Peripheral,53.61923170,-113.71279840,POINT (-113.7127984 53.6192317)
08/07/2018 12:00:00 AM,Aedes,vexans,Female,,11,Rural-East,,Outer,53.60672180,-113.22135870,POINT (-113.22135870000001 53.6067218)
08/16/2005 12:00:00 AM,Aedes,vexans,Female,,1,Rural-North West,,Peripheral,53.61722100,-113.71618200,POINT (-113.716182 53.617221)
05/15/2012 12:00:00 AM,Anopheles,earlei,Female,,1,Rural-North West,,Peripheral,53.61923170,-113.71279840,POINT (-113.7127984 53.6192317)
09/20/2016 12:00:00 AM,Aedes,vexans,Female,,42,Rural-West,,Outer,53.56297330,-113.78735300,POINT (-113.787353 53.5629733)
08/16/2016 12:00:00 AM,Male,UnID,Male,UnID,530,Outer Community-North,,Outer,53.77447650,-113.58571530,POINT (-113.5857153 53.7744765)
07/30/2019 12:00:00 AM,Aedes,dorsalis,Female,,1,Rural-North West,,Peripheral,53.61923170,-113.71279840,POINT (-113.7127984 53.6192317)
09/16/2014 12:00:00 AM,Male,UnID,Male,UnID,19,Rural-East,,Outer,53.60672180,-113.22135870,POINT (-113.22135870000001 53.6067218)
06/02/2009 12:00:00 AM,Culiseta,inornata,Female,,3,Rural-North West,,Peripheral,53.61722100,-113.71618200,POINT (-113.716182 53.617221)
06/13/2017 12:00:00 AM,Aedes,dorsalis,Female,,1,Rural-West,,Outer,53.56297330,-113.78735300,POINT (-113.787353 53.5629733)
07/12/2016 12:00:00 AM,Misc,UnID,Female,UnID,1,Rural-East,,Outer,53.60672180,-113.22135870,POINT (-113.22135870000001 53.6067218)
06/16/2015 12:00:00 AM,Male,UnID,Male,UnID,13,Rural-East,,Outer,53.60672180,-113.22135870,POINT (-113.22135870000001 53.6067218)
08/29/2017 12:00:00 AM,Aedes,vexans,Female,,21,Rural-East,,Outer,53.60672180,-113.22135870,POINT (-113.22135870000001 53.6067218)
06/20/2017 12:00:00 AM,Culiseta,inornata,Female,,5,Rural-West,,Outer,53.56297330,-113.78735300,POINT (-113.787353 53.5629733)
